Epoch:404, loss:0.151, time_spent:3.21s
Epoch:405, loss:0.242, time_spent:3.21s
Epoch:406, loss:0.548, time_spent:3.21s
Epoch:407, loss:0.187, time_spent:3.21s
Epoch:408, loss:0.116, time_spent:3.21s
Epoch:409, loss:0.476, time_spent:3.21s
Epoch:410, loss:0.381, time_spent:3.21s
Epoch:411, loss:0.140, time_spent:3.21s
Epoch:412, loss:0.068, time_spent:3.21s
Epoch:413, loss:0.287, time_spent:3.21s
Epoch:414, loss:0.343, time_spent:3.22s
Epoch:415, loss:0.715, time_spent:3.22s
Epoch:416, loss:0.442, time_spent:3.22s
Epoch:417, loss:0.284, time_spent:3.22s
Epoch:418, loss:0.422, time_spent:3.21s
Epoch:419, loss:0.408, time_spent:3.21s
Epoch:420, loss:0.070, time_spent:3.22s
Epoch:421, loss:0.795, time_spent:3.21s
Epoch:422, loss:0.208, time_spent:3.21s
Epoch:423, loss:0.531, time_spent:3.21s
Epoch:424, loss:0.358, time_spent:3.21s
Epoch:425, loss:0.573, time_spent:3.21s
Epoch:426, loss:0.170, time_spent:3.21s
Epoch:427, loss:0.430, time_spent:3.21s
Epoch:428, loss:0.945, time_spent:3.21s
Epoch:429, loss:0.539, time_spent:3.21s
Epoch:430, loss:0.377, time_spent:3.21s
Epoch:431, loss:0.381, time_spent:3.21s
Epoch:432, loss:0.531, time_spent:3.21s
Epoch:433, loss:0.462, time_spent:3.21s
Epoch:434, loss:0.726, time_spent:3.21s
Epoch:435, loss:0.777, time_spent:3.21s
Epoch:436, loss:0.380, time_spent:3.21s
Epoch:437, loss:0.091, time_spent:3.21s
Epoch:438, loss:0.152, time_spent:3.21s
Epoch:439, loss:0.473, time_spent:3.21s
Epoch:440, loss:0.469, time_spent:3.21s
Epoch:441, loss:0.354, time_spent:3.21s
Epoch:442, loss:0.324, time_spent:3.21s
Epoch:443, loss:0.549, time_spent:3.20s
Epoch:444, loss:0.094, time_spent:3.21s
Epoch:445, loss:0.328, time_spent:3.21s
Epoch:446, loss:0.471, time_spent:3.21s
Epoch:447, loss:0.315, time_spent:3.21s
Epoch:448, loss:0.381, time_spent:3.21s
Epoch:449, loss:0.251, time_spent:3.21s
Epoch:450, loss:0.300, time_spent:3.21s
Epoch:451, loss:0.480, time_spent:3.21s
Epoch:452, loss:0.550, time_spent:3.21s
Epoch:453, loss:0.617, time_spent:3.21s
Epoch:454, loss:0.473, time_spent:3.20s
Epoch:455, loss:0.509, time_spent:3.21s
Epoch:456, loss:0.239, time_spent:3.21s
Epoch:457, loss:0.343, time_spent:3.21s
Epoch:458, loss:0.327, time_spent:3.21s
Epoch:459, loss:0.754, time_spent:3.21s
Epoch:460, loss:0.388, time_spent:3.21s
Epoch:461, loss:0.391, time_spent:3.21s
Epoch:462, loss:0.617, time_spent:3.21s
Epoch:463, loss:0.472, time_spent:3.21s
Epoch:464, loss:0.466, time_spent:3.21s
Epoch:465, loss:0.703, time_spent:3.21s
Epoch:466, loss:0.195, time_spent:3.21s
Epoch:467, loss:0.145, time_spent:3.21s
Epoch:468, loss:0.594, time_spent:3.21s
Epoch:469, loss:0.153, time_spent:3.21s
Epoch:470, loss:0.212, time_spent:3.21s
Epoch:471, loss:0.442, time_spent:3.21s
Epoch:472, loss:0.409, time_spent:3.21s
Epoch:473, loss:0.335, time_spent:3.21s
Epoch:474, loss:0.545, time_spent:3.21s
Epoch:475, loss:0.777, time_spent:3.21s
Epoch:476, loss:0.685, time_spent:3.21s
Epoch:477, loss:0.611, time_spent:3.22s
Epoch:478, loss:0.785, time_spent:3.21s
Epoch:479, loss:0.662, time_spent:3.21s
Epoch:480, loss:0.178, time_spent:3.24s
Epoch:481, loss:0.545, time_spent:3.21s
Epoch:482, loss:0.858, time_spent:3.21s
Epoch:483, loss:0.124, time_spent:3.21s
Epoch:484, loss:0.001, time_spent:3.21s
Epoch:485, loss:0.378, time_spent:3.22s
Epoch:486, loss:0.379, time_spent:3.22s
Epoch:487, loss:0.708, time_spent:3.21s
Epoch:488, loss:0.108, time_spent:3.22s
Epoch:489, loss:0.850, time_spent:3.21s
Epoch:490, loss:0.690, time_spent:3.21s
Epoch:491, loss:0.621, time_spent:3.21s
Epoch:492, loss:0.389, time_spent:3.21s
Epoch:493, loss:0.811, time_spent:3.21s
Epoch:494, loss:0.417, time_spent:3.21s
Epoch:495, loss:0.379, time_spent:3.21s
Epoch:496, loss:0.304, time_spent:3.21s
Epoch:497, loss:0.210, time_spent:3.21s
Epoch:498, loss:0.746, time_spent:3.21s
Epoch:499, loss:0.505, time_spent:3.22s
Epoch:500, loss:0.710, time_spent:3.21s
Epoch:501, loss:0.669, time_spent:3.21s
Epoch:502, loss:0.231, time_spent:3.21s
Epoch:503, loss:0.185, time_spent:3.21s
Epoch:504, loss:1.044, time_spent:3.21s
Epoch:505, loss:0.298, time_spent:3.21s
Epoch:506, loss:0.717, time_spent:3.21s
Epoch:507, loss:0.217, time_spent:3.20s
Epoch:508, loss:0.112, time_spent:3.21s
Epoch:509, loss:0.916, time_spent:3.21s
Epoch:510, loss:0.079, time_spent:3.21s
Epoch:511, loss:0.418, time_spent:3.22s
Epoch:512, loss:0.304, time_spent:3.21s
Epoch:513, loss:0.586, time_spent:3.21s
Epoch:514, loss:1.171, time_spent:3.21s
Epoch:515, loss:0.410, time_spent:3.21s
Epoch:516, loss:0.614, time_spent:3.21s
Epoch:517, loss:0.224, time_spent:3.21s
Epoch:518, loss:0.399, time_spent:3.21s
Epoch:519, loss:0.383, time_spent:3.24s
Epoch:520, loss:0.299, time_spent:3.21s
Epoch:521, loss:0.278, time_spent:3.22s
Epoch:522, loss:0.411, time_spent:3.23s
Epoch:523, loss:0.508, time_spent:3.22s
Epoch:524, loss:0.432, time_spent:3.22s
Epoch:525, loss:0.050, time_spent:3.21s
Epoch:526, loss:0.489, time_spent:3.21s
Epoch:527, loss:0.272, time_spent:3.21s
Epoch:528, loss:0.697, time_spent:3.21s
Epoch:529, loss:0.220, time_spent:3.21s
Epoch:530, loss:0.056, time_spent:3.21s
Epoch:531, loss:0.407, time_spent:3.21s
Epoch:532, loss:0.487, time_spent:3.21s
Epoch:533, loss:0.256, time_spent:3.21s
Epoch:534, loss:0.465, time_spent:3.22s
Epoch:535, loss:0.430, time_spent:3.21s
Epoch:536, loss:0.538, time_spent:3.21s
Epoch:537, loss:0.341, time_spent:3.21s
Epoch:538, loss:0.789, time_spent:3.21s
Epoch:539, loss:0.474, time_spent:3.21s
Epoch:540, loss:0.498, time_spent:3.21s
Epoch:541, loss:0.311, time_spent:3.20s
Epoch:542, loss:0.380, time_spent:3.21s
Epoch:543, loss:0.339, time_spent:3.21s
Epoch:544, loss:0.458, time_spent:3.22s
Epoch:545, loss:0.891, time_spent:3.21s
Epoch:546, loss:0.539, time_spent:3.21s
Epoch:547, loss:0.196, time_spent:3.21s
Epoch:548, loss:0.536, time_spent:3.21s
Epoch:549, loss:0.332, time_spent:3.21s
Epoch:550, loss:0.455, time_spent:3.21s
Epoch:551, loss:0.275, time_spent:3.21s
Epoch:552, loss:0.540, time_spent:3.20s
Epoch:553, loss:0.407, time_spent:3.21s
